,Item,Quantity,Price Per Unit,Total Spent
1119,Sandwich,5,4.0,20.0
1120,Cake,2,3.0,6.0
1121,Salad,1,5.0,5.0
1122,Tea,5,1.5,7.5
1123,Coffee,3,2.0,6.0
1125,Smoothie,5,4.0,20.0
1126,Smoothie,2,4.0,8.0
1128,Cake,1,3.0,3.0
1130,Cake,2,3.0,6.0
1131,Sandwich,1,4.0,4.0
1132,Smoothie,2,4.0,8.0
1133,Smoothie,4,4.0,16.0
1134,Coffee,5,2.0,10.0
1135,Sandwich,1,4.0,4.0
1136,Cake,2,3.0,6.0
1137,Cake,5,3.0,15.0
1139,Smoothie,1,4.0,4.0
1140,Tea,3,1.5,4.5
1141,Cookie,1,1.0,1.0
1143,Salad,4,5.0,20.0
1144,Sandwich,1,4.0,4.0
1145,Coffee,2,2.0,4.0
1146,Juice,5,3.0,15.0
1147,Sandwich,2,4.0,8.0
1151,Smoothie,5,4.0,20.0
1152,Coffee,4,2.0,8.0
1153,Smoothie,3,4.0,12.0
1157,Sandwich,5,4.0,20.0
1158,Sandwich,2,4.0,8.0
1160,Tea,4,1.5,6.0
1161,Coffee,5,2.0,10.0
1162,Sandwich,4,4.0,16.0
1163,Coffee,4,2.0,8.0
1164,Cookie,4,1.0,4.0
1166,Cake,5,3.0,15.0
1168,Sandwich,5,4.0,20.0
1169,Coffee,3,2.0,6.0
1171,Coffee,4,2.0,8.0
1172,Cookie,1,1.0,1.0
1173,Juice,4,3.0,12.0
1174,Coffee,4,2.0,8.0
1175,Smoothie,4,4.0,16.0
1176,Cake,3,3.0,9.0
1177,Cake,5,3.0,15.0
1178,Salad,5,5.0,25.0
1179,Cookie,1,1.0,1.0
1180,Cookie,3,1.0,3.0
1181,Juice,3,3.0,9.0
1182,Salad,4,5.0,20.0
1183,Juice,3,3.0,9.0
1184,Coffee,4,2.0,8.0
1185,Salad,3,5.0,15.0
1187,Salad,4,5.0,20.0
1188,Salad,4,5.0,20.0
1189,Juice,4,3.0,12.0
1191,Cookie,2,1.0,2.0
1192,Cake,3,3.0,9.0
1193,Coffee,4,2.0,8.0
1194,Cookie,2,1.0,2.0
1195,Tea,1,1.5,1.5
1196,Cake,1,3.0,3.0
1200,Cookie,5,1.0,5.0
1201,Smoothie,2,4.0,8.0
1202,Tea,1,1.5,1.5
1204,Coffee,4,2.0,8.0
1205,Smoothie,4,4.0,16.0
1206,Sandwich,2,4.0,8.0
1208,Tea,2,1.5,3.0
1209,Cake,2,3.0,6.0
1210,Sandwich,2,4.0,8.0
1211,Sandwich,4,4.0,16.0
1214,Cookie,5,1.0,5.0
1215,Juice,3,3.0,9.0
1216,Sandwich,1,4.0,4.0
1217,Cake,4,3.0,12.0
1218,Cake,2,3.0,6.0
1219,Smoothie,5,4.0,20.0
1220,Sandwich,1,4.0,4.0
1221,Smoothie,1,4.0,4.0
1222,Salad,5,5.0,25.0
1223,Cookie,2,1.0,2.0
1225,Coffee,2,2.0,4.0
1226,Cookie,2,1.0,2.0
1227,Sandwich,2,4.0,8.0
1230,Coffee,2,2.0,4.0
1231,Coffee,4,2.0,8.0
1232,Sandwich,2,4.0,8.0
1233,Sandwich,4,4.0,16.0
1234,Smoothie,2,4.0,8.0
1235,Smoothie,3,4.0,12.0
1236,Cake,1,3.0,3.0
1239,Smoothie,5,4.0,20.0
1240,Cake,2,3.0,6.0
1242,Coffee,4,2.0,8.0
1243,Cookie,4,1.0,4.0
1244,Cake,5,3.0,15.0
1245,Tea,1,1.5,1.5
1246,Sandwich,4,4.0,16.0
1247,Sandwich,4,4.0,16.0
1248,Sandwich,1,4.0,4.0
1249,Coffee,5,2.0,10.0
1250,Coffee,1,2.0,2.0
1251,Cake,3,3.0,9.0
1255,Cake,5,3.0,15.0
1257,Smoothie,2,4.0,8.0
1258,Smoothie,1,4.0,4.0
1259,Tea,2,1.5,3.0
1260,Cookie,1,1.0,1.0
1261,Juice,2,3.0,6.0
1262,Cookie,2,1.0,2.0
1264,Cake,2,3.0,6.0
1265,Sandwich,3,4.0,12.0
1266,Tea,5,1.5,7.5
1268,Salad,4,5.0,20.0
1269,Coffee,5,2.0,10.0
1270,Cake,2,3.0,6.0
1271,Juice,3,3.0,9.0
1272,Cookie,5,1.0,5.0
1273,Cake,1,3.0,3.0
1275,Coffee,1,2.0,2.0
1276,Cake,1,3.0,3.0
1277,Tea,5,1.5,7.5
1278,Coffee,4,2.0,8.0
1279,Coffee,4,2.0,8.0
1280,Cake,1,3.0,3.0
1283,Juice,4,3.0,12.0
1284,Tea,3,1.5,4.5
1285,Smoothie,4,4.0,16.0
1286,Salad,1,5.0,5.0
1287,Coffee,2,2.0,4.0
1288,Cake,4,3.0,12.0
1289,Salad,2,5.0,10.0
1290,Cake,5,3.0,15.0
1292,Cake,3,3.0,9.0
1293,Cake,5,3.0,15.0
1294,Smoothie,3,4.0,12.0
1295,Coffee,4,2.0,8.0
1297,Cake,2,3.0,6.0
1298,Cake,4,3.0,12.0
1299,Sandwich,1,4.0,4.0
1300,Cake,4,3.0,12.0
1301,Juice,3,3.0,9.0
1302,Coffee,3,2.0,6.0
1303,Cake,2,3.0,6.0
1304,Sandwich,5,4.0,20.0
1305,Cookie,4,1.0,4.0
1306,Salad,1,5.0,5.0
1307,Cake,3,3.0,9.0
1308,Cookie,5,1.0,5.0
1309,Tea,2,1.5,3.0
1310,Coffee,2,2.0,4.0
1312,Coffee,5,2.0,10.0
1313,Coffee,4,2.0,8.0
1314,Juice,5,3.0,15.0
1319,Juice,3,3.0,9.0
1320,Salad,3,5.0,15.0
1321,Coffee,2,2.0,4.0
1322,Tea,4,1.5,6.0
1324,Juice,3,3.0,9.0
1327,Salad,3,5.0,15.0
1328,Coffee,2,2.0,4.0
1331,Cookie,1,1.0,1.0
1332,Juice,5,3.0,15.0
1334,Salad,2,5.0,10.0
1335,Sandwich,4,4.0,16.0
1336,Cake,3,3.0,9.0
1338,Smoothie,5,4.0,20.0
1340,Juice,3,3.0,9.0
1341,Smoothie,4,4.0,16.0
1342,Salad,5,5.0,25.0
1343,Cookie,5,1.0,5.0
1344,Coffee,5,2.0,10.0
1346,Smoothie,5,4.0,20.0
1347,Cookie,3,1.0,3.0
1348,Sandwich,3,4.0,12.0
1349,Juice,3,3.0,9.0
1350,Coffee,3,2.0,6.0
1352,Coffee,1,2.0,2.0
1353,Sandwich,4,4.0,16.0
1354,Coffee,4,2.0,8.0
1355,Cake,4,3.0,12.0
1356,Sandwich,3,4.0,12.0
1357,Sandwich,1,4.0,4.0
1359,Cake,3,3.0,9.0
1360,Cake,3,3.0,9.0
1361,Cookie,2,1.0,2.0
1362,Cake,5,3.0,15.0
1363,Cookie,3,1.0,3.0
1365,Sandwich,5,4.0,20.0
1366,Juice,1,3.0,3.0
1367,Juice,5,3.0,15.0
1368,Juice,2,3.0,6.0
1369,Cookie,5,1.0,5.0
1370,Cake,3,3.0,9.0
1371,Sandwich,2,4.0,8.0
1372,Sandwich,5,4.0,20.0
1374,Coffee,5,2.0,10.0
1378,Coffee,5,2.0,10.0
1380,Sandwich,5,4.0,20.0
1381,Smoothie,1,4.0,4.0
1382,Tea,5,1.5,7.5
1383,Smoothie,2,4.0,8.0
1387,Cake,2,3.0,6.0
1388,Sandwich,5,4.0,20.0
1390,Cookie,1,1.0,1.0
1391,Cookie,1,1.0,1.0
1392,Juice,2,3.0,6.0
1394,Sandwich,4,4.0,16.0
1395,Juice,1,3.0,3.0
1398,Tea,5,1.5,7.5
1399,Tea,2,1.5,3.0
1400,Sandwich,5,4.0,20.0
1402,Tea,4,1.5,6.0
1403,Cookie,3,1.0,3.0
1404,Juice,1,3.0,3.0
1405,Salad,1,5.0,5.0
1406,Cake,1,3.0,3.0
1407,Sandwich,2,4.0,8.0
1409,Cookie,4,1.0,4.0
1410,Coffee,2,2.0,4.0
1411,Smoothie,4,4.0,16.0
1412,Cake,1,3.0,3.0
1413,Tea,5,1.5,7.5
1414,Smoothie,3,4.0,12.0
1415,Tea,5,1.5,7.5
1416,Salad,2,5.0,10.0
1417,Salad,2,5.0,10.0
1418,Cake,3,3.0,9.0
1419,Cake,2,3.0,6.0
1421,Sandwich,5,4.0,20.0
1422,Cookie,4,1.0,4.0
1423,Juice,5,3.0,15.0
1424,Cookie,4,1.0,4.0
1426,Sandwich,3,4.0,12.0
1427,Sandwich,5,4.0,20.0
1428,Juice,3,3.0,9.0
1431,Salad,5,5.0,25.0
1435,Cookie,5,1.0,5.0
1437,Juice,1,3.0,3.0
1438,Tea,4,1.5,6.0
1439,Coffee,4,2.0,8.0
1441,Juice,5,3.0,15.0
1442,Smoothie,2,4.0,8.0
1443,Sandwich,2,4.0,8.0
1444,Cake,1,3.0,3.0
1445,Cookie,3,1.0,3.0
1449,Smoothie,4,4.0,16.0
1450,Tea,4,1.5,6.0
1452,Cookie,2,1.0,2.0
1454,Juice,3,3.0,9.0
1455,Tea,5,1.5,7.5
1456,Salad,3,5.0,15.0
1457,Coffee,1,2.0,2.0
1459,Juice,3,3.0,9.0
1462,Cookie,5,1.0,5.0
1463,Juice,1,3.0,3.0
1464,Tea,1,1.5,1.5
1465,Salad,5,5.0,25.0
1466,Smoothie,4,4.0,16.0
1467,Cake,3,3.0,9.0
1468,Sandwich,4,4.0,16.0
1471,Cake,2,3.0,6.0
1472,Salad,2,5.0,10.0
1473,Tea,1,1.5,1.5
1474,Cake,3,3.0,9.0
1475,Juice,2,3.0,6.0
1476,Sandwich,2,4.0,8.0
1477,Cake,2,3.0,6.0
1478,Cake,1,3.0,3.0
1480,Cake,1,3.0,3.0
1483,Cake,2,3.0,6.0
1484,Salad,1,5.0,5.0
1485,Juice,2,3.0,6.0
1487,Salad,5,5.0,25.0
1488,Cake,5,3.0,15.0
1489,Smoothie,5,4.0,20.0
1490,Juice,3,3.0,9.0
1491,Sandwich,2,4.0,8.0
1492,Salad,5,5.0,25.0
1493,Coffee,5,2.0,10.0
1494,Coffee,4,2.0,8.0
1495,Salad,4,5.0,20.0
1496,Juice,2,3.0,6.0
1497,Tea,4,1.5,6.0
1498,Salad,4,5.0,20.0
1499,Juice,1,3.0,3.0
1501,Tea,2,1.5,3.0
1502,Cookie,1,1.0,1.0
1503,Salad,1,5.0,5.0
1504,Juice,4,3.0,12.0
1505,Smoothie,5,4.0,20.0
1506,Coffee,1,2.0,2.0
1507,Coffee,3,2.0,6.0
1509,Coffee,3,2.0,6.0
1510,Cake,5,3.0,15.0
1511,Cookie,2,1.0,2.0
1512,Juice,5,3.0,15.0
1514,Juice,1,3.0,3.0
1515,Tea,4,1.5,6.0
1516,Smoothie,4,4.0,16.0
1517,Cookie,5,1.0,5.0
1518,Coffee,4,2.0,8.0
1519,Cake,5,3.0,15.0
1520,Tea,2,1.5,3.0
1521,Tea,1,1.5,1.5
1523,Tea,3,1.5,4.5
1524,Smoothie,4,4.0,16.0
1525,Cookie,4,1.0,4.0
1526,Salad,3,5.0,15.0
1527,Salad,5,5.0,25.0
1528,Juice,4,3.0,12.0
1530,Salad,1,5.0,5.0
1531,Salad,2,5.0,10.0
1532,Cake,2,3.0,6.0
1533,Salad,5,5.0,25.0
1534,Salad,2,5.0,10.0
1535,Sandwich,2,4.0,8.0
1536,Coffee,4,2.0,8.0
1537,Coffee,2,2.0,4.0
1539,Coffee,5,2.0,10.0
1540,Coffee,5,2.0,10.0
1541,Sandwich,2,4.0,8.0
1543,Salad,1,5.0,5.0
1544,Tea,1,1.5,1.5
1545,Salad,3,5.0,15.0
1546,Tea,2,1.5,3.0
1548,Juice,1,3.0,3.0
1549,Cake,3,3.0,9.0
1552,Smoothie,3,4.0,12.0
1553,Cake,3,3.0,9.0
1554,Coffee,1,2.0,2.0
1555,Juice,1,3.0,3.0
1556,Smoothie,3,4.0,12.0
1557,Juice,1,3.0,3.0
1558,Tea,5,1.5,7.5
1560,Salad,2,5.0,10.0
1561,Juice,2,3.0,6.0
1563,Salad,5,5.0,25.0
1565,Smoothie,1,4.0,4.0
1566,Juice,4,3.0,12.0
1567,Sandwich,1,4.0,4.0
1568,Sandwich,4,4.0,16.0
1569,Sandwich,1,4.0,4.0
1570,Sandwich,3,4.0,12.0
1572,Salad,3,5.0,15.0
1573,Smoothie,1,4.0,4.0
1575,Salad,3,5.0,15.0
1576,Coffee,2,2.0,4.0
1577,Coffee,1,2.0,2.0
1578,Tea,3,1.5,4.5
1579,Coffee,3,2.0,6.0
1580,Coffee,4,2.0,8.0
1581,Juice,5,3.0,15.0
1582,Sandwich,4,4.0,16.0
1583,Cake,2,3.0,6.0
1584,Cookie,3,1.0,3.0
1586,Coffee,5,2.0,10.0
1588,Sandwich,3,4.0,12.0
1590,Tea,1,1.5,1.5
1591,Smoothie,5,4.0,20.0
1592,Cake,5,3.0,15.0
1593,Cake,2,3.0,6.0
1594,Cookie,2,1.0,2.0
1595,Cake,2,3.0,6.0
1596,Cookie,5,1.0,5.0
1597,Sandwich,4,4.0,16.0
1598,Salad,4,5.0,20.0
1599,Cookie,3,1.0,3.0
1600,Juice,5,3.0,15.0
1601,Cookie,4,1.0,4.0
1603,Salad,5,5.0,25.0
1604,Cake,4,3.0,12.0
1605,Cake,1,3.0,3.0
1607,Coffee,2,2.0,4.0
1608,Salad,2,5.0,10.0
1609,Tea,4,1.5,6.0
1610,Cake,2,3.0,6.0
1611,Cake,1,3.0,3.0
1612,Juice,5,3.0,15.0
1616,Juice,2,3.0,6.0
1617,Smoothie,4,4.0,16.0
1618,Coffee,2,2.0,4.0
1620,Cookie,1,1.0,1.0
1621,Salad,5,5.0,25.0
1622,Salad,5,5.0,25.0
1623,Tea,5,1.5,7.5
1624,Tea,5,1.5,7.5
1625,Tea,2,1.5,3.0
1626,Smoothie,2,4.0,8.0
1627,Juice,3,3.0,9.0
1628,Sandwich,3,4.0,12.0
1630,Tea,2,1.5,3.0
1632,Cookie,4,1.0,4.0
1633,Salad,5,5.0,25.0
1634,Salad,4,5.0,20.0
1635,Tea,2,1.5,3.0
1636,Sandwich,5,4.0,20.0
1637,Tea,5,1.5,7.5
1639,Smoothie,1,4.0,4.0
1640,Coffee,5,2.0,10.0
1642,Cake,1,3.0,3.0
1643,Smoothie,1,4.0,4.0
1644,Coffee,3,2.0,6.0
1645,Coffee,5,2.0,10.0
1646,Coffee,1,2.0,2.0
1647,Cake,5,3.0,15.0
1648,Cookie,2,1.0,2.0
1649,Sandwich,1,4.0,4.0
1650,Juice,2,3.0,6.0
1651,Tea,3,1.5,4.5
1652,Sandwich,2,4.0,8.0
1653,Sandwich,5,4.0,20.0
1654,Cake,4,3.0,12.0
1656,Sandwich,5,4.0,20.0
1657,Cookie,5,1.0,5.0
1659,Smoothie,2,4.0,8.0
1660,Salad,5,5.0,25.0
1661,Smoothie,5,4.0,20.0
1662,Juice,5,3.0,15.0
1663,Tea,4,1.5,6.0
1664,Sandwich,2,4.0,8.0
1665,Smoothie,2,4.0,8.0
1666,Coffee,5,2.0,10.0
1667,Cookie,1,1.0,1.0
1668,Cake,4,3.0,12.0
1669,Sandwich,5,4.0,20.0
1670,Cake,2,3.0,6.0
1672,Coffee,2,2.0,4.0
1673,Sandwich,3,4.0,12.0
1675,Salad,1,5.0,5.0
1676,Sandwich,5,4.0,20.0
1677,Juice,5,3.0,15.0
1679,Smoothie,5,4.0,20.0
1680,Tea,2,1.5,3.0
1681,Juice,5,3.0,15.0
1682,Cake,1,3.0,3.0
1683,Juice,5,3.0,15.0
1684,Juice,1,3.0,3.0
1685,Salad,2,5.0,10.0
1686,Tea,1,1.5,1.5
1687,Tea,2,1.5,3.0
1688,Tea,5,1.5,7.5
1689,Juice,4,3.0,12.0
1690,Tea,1,1.5,1.5
1691,Sandwich,1,4.0,4.0
1693,Juice,1,3.0,3.0
1695,Salad,1,5.0,5.0
1696,Juice,4,3.0,12.0
1697,Salad,4,5.0,20.0
1698,Sandwich,1,4.0,4.0
1700,Cake,2,3.0,6.0
1701,Smoothie,2,4.0,8.0
1702,Smoothie,2,4.0,8.0
1704,Juice,1,3.0,3.0
1705,Cookie,1,1.0,1.0
1707,Cake,2,3.0,6.0
1708,Coffee,5,2.0,10.0
1709,Cake,2,3.0,6.0
1710,Cookie,5,1.0,5.0
1711,Coffee,4,2.0,8.0
1712,Cookie,2,1.0,2.0
1713,Sandwich,3,4.0,12.0
1714,Coffee,3,2.0,6.0
1715,Sandwich,5,4.0,20.0
1716,Salad,1,5.0,5.0
1717,Smoothie,1,4.0,4.0
1718,Juice,3,3.0,9.0
1721,Cookie,5,1.0,5.0
1723,Smoothie,1,4.0,4.0
1724,Cake,4,3.0,12.0
1726,Sandwich,2,4.0,8.0
1727,Tea,5,1.5,7.5
1728,Cake,2,3.0,6.0
1729,Coffee,3,2.0,6.0
1730,Cake,3,3.0,9.0
1731,Sandwich,5,4.0,20.0
1732,Cake,3,3.0,9.0
1734,Salad,5,5.0,25.0
1735,Coffee,5,2.0,10.0
1736,Smoothie,2,4.0,8.0
1739,Smoothie,4,4.0,16.0
1740,Cake,4,3.0,12.0
1741,Coffee,4,2.0,8.0
1742,Sandwich,1,4.0,4.0
1743,Sandwich,3,4.0,12.0
1744,Coffee,1,2.0,2.0
1745,Smoothie,5,4.0,20.0
1747,Juice,5,3.0,15.0
1750,Juice,1,3.0,3.0
1751,Sandwich,1,4.0,4.0
1752,Sandwich,2,4.0,8.0
1754,Coffee,3,2.0,6.0
1755,Coffee,2,2.0,4.0
1757,Salad,5,5.0,25.0
1758,Cookie,5,1.0,5.0
1759,Sandwich,3,4.0,12.0
1760,Juice,4,3.0,12.0
1762,Cookie,5,1.0,5.0
1763,Coffee,1,2.0,2.0
1765,Cookie,4,1.0,4.0
1767,Smoothie,5,4.0,20.0
1768,Coffee,3,2.0,6.0
1770,Cookie,1,1.0,1.0
1771,Tea,1,1.5,1.5
1772,Juice,2,3.0,6.0
1774,Coffee,3,2.0,6.0
1775,Tea,2,1.5,3.0
1776,Juice,1,3.0,3.0
1777,Juice,5,3.0,15.0
1778,Cake,2,3.0,6.0
1780,Sandwich,5,4.0,20.0
1781,Coffee,3,2.0,6.0
1782,Cookie,5,1.0,5.0
1783,Sandwich,1,4.0,4.0
1784,Salad,2,5.0,10.0
1785,Cookie,2,1.0,2.0
1787,Tea,1,1.5,1.5
1791,Cake,2,3.0,6.0
1793,Tea,5,1.5,7.5
1794,Juice,1,3.0,3.0
1795,Cookie,1,1.0,1.0
1797,Smoothie,5,4.0,20.0
1798,Cookie,4,1.0,4.0
1800,Cookie,5,1.0,5.0
1801,Salad,1,5.0,5.0
1802,Salad,4,5.0,20.0
1804,Cookie,2,1.0,2.0
1805,Coffee,1,2.0,2.0
1806,Sandwich,5,4.0,20.0
1807,Cake,4,3.0,12.0
1809,Sandwich,1,4.0,4.0
1810,Cookie,2,1.0,2.0
1812,Smoothie,3,4.0,12.0
1813,Cake,5,3.0,15.0
1814,Salad,5,5.0,25.0
1815,Smoothie,3,4.0,12.0
1816,Smoothie,1,4.0,4.0
1818,Cake,5,3.0,15.0
1819,Cake,5,3.0,15.0
1820,Juice,3,3.0,9.0
1822,Sandwich,1,4.0,4.0
1823,Smoothie,5,4.0,20.0
1825,Coffee,3,2.0,6.0
1826,Smoothie,3,4.0,12.0
1827,Tea,2,1.5,3.0
1828,Sandwich,5,4.0,20.0
1829,Cake,1,3.0,3.0
1830,Juice,3,3.0,9.0
1831,Tea,5,1.5,7.5
1833,Sandwich,4,4.0,16.0
1835,Juice,4,3.0,12.0
1836,Salad,4,5.0,20.0
1837,Coffee,3,2.0,6.0
1838,Juice,2,3.0,6.0
1839,Tea,4,1.5,6.0
1840,Cake,4,3.0,12.0
1841,Salad,3,5.0,15.0
1842,Salad,4,5.0,20.0
1844,Cake,5,3.0,15.0
1845,Salad,5,5.0,25.0
1846,Cookie,4,1.0,4.0
1847,Tea,1,1.5,1.5
1848,Juice,5,3.0,15.0
1849,Coffee,5,2.0,10.0
1850,Tea,1,1.5,1.5
1851,Juice,1,3.0,3.0
1852,Coffee,5,2.0,10.0
1853,Cookie,3,1.0,3.0
1855,Sandwich,5,4.0,20.0
1856,Smoothie,4,4.0,16.0
1858,Sandwich,5,4.0,20.0
1860,Salad,3,5.0,15.0
1861,Smoothie,4,4.0,16.0
1862,Salad,4,5.0,20.0
1863,Smoothie,4,4.0,16.0
1864,Salad,4,5.0,20.0
1865,Juice,3,3.0,9.0
1866,Juice,1,3.0,3.0
1869,Sandwich,5,4.0,20.0
1870,Juice,1,3.0,3.0
1871,Coffee,4,2.0,8.0
1872,Smoothie,2,4.0,8.0
1873,Juice,5,3.0,15.0
1874,Cookie,2,1.0,2.0
1876,Cake,1,3.0,3.0
1877,Tea,5,1.5,7.5
1878,Cake,5,3.0,15.0
1879,Salad,1,5.0,5.0
1880,Tea,3,1.5,4.5
1881,Sandwich,4,4.0,16.0
1882,Smoothie,4,4.0,16.0
1883,Coffee,1,2.0,2.0
1884,Salad,3,5.0,15.0
1885,Cake,1,3.0,3.0
1886,Coffee,1,2.0,2.0
1887,Juice,5,3.0,15.0
1888,Coffee,5,2.0,10.0
1891,Tea,5,1.5,7.5
1892,Juice,4,3.0,12.0
1893,Smoothie,5,4.0,20.0
1894,Smoothie,2,4.0,8.0
1897,Juice,5,3.0,15.0
1898,Cake,3,3.0,9.0
1900,Sandwich,3,4.0,12.0
1901,Tea,1,1.5,1.5
1903,Tea,2,1.5,3.0
1904,Coffee,1,2.0,2.0
1905,Sandwich,1,4.0,4.0
1906,Smoothie,3,4.0,12.0
1907,Juice,3,3.0,9.0
1908,Juice,5,3.0,15.0
1909,Coffee,1,2.0,2.0
1910,Cake,4,3.0,12.0
1911,Sandwich,2,4.0,8.0
1912,Tea,3,1.5,4.5
1914,Tea,5,1.5,7.5
1917,Juice,3,3.0,9.0
1918,Cake,4,3.0,12.0
1920,Coffee,2,2.0,4.0
1921,Sandwich,2,4.0,8.0
1922,Coffee,3,2.0,6.0
1923,Tea,5,1.5,7.5
1924,Salad,1,5.0,5.0
1925,Smoothie,4,4.0,16.0
1928,Coffee,5,2.0,10.0
1929,Coffee,2,2.0,4.0
1930,Cookie,2,1.0,2.0
1931,Coffee,2,2.0,4.0
1932,Smoothie,2,4.0,8.0
1933,Cake,5,3.0,15.0
1934,Coffee,5,2.0,10.0
1935,Tea,5,1.5,7.5
1937,Smoothie,1,4.0,4.0
1938,Cookie,3,1.0,3.0
1940,Sandwich,5,4.0,20.0
1941,Cookie,1,1.0,1.0
1942,Coffee,2,2.0,4.0
1944,Salad,4,5.0,20.0
1945,Tea,4,1.5,6.0
1946,Smoothie,3,4.0,12.0
1947,Salad,5,5.0,25.0
1948,Juice,5,3.0,15.0
1949,Juice,1,3.0,3.0
1950,Sandwich,4,4.0,16.0
1951,Sandwich,1,4.0,4.0
1952,Salad,2,5.0,10.0
1953,Cake,3,3.0,9.0
1954,Cookie,5,1.0,5.0
1955,Smoothie,1,4.0,4.0
1957,Sandwich,2,4.0,8.0
1960,Sandwich,1,4.0,4.0
1961,Juice,4,3.0,12.0
1963,Juice,3,3.0,9.0
1965,Smoothie,3,4.0,12.0
1966,Smoothie,5,4.0,20.0
1967,Cake,5,3.0,15.0
1968,Salad,4,5.0,20.0
1969,Cookie,4,1.0,4.0
1970,Cookie,3,1.0,3.0
1971,Tea,2,1.5,3.0
1972,Juice,4,3.0,12.0
1973,Juice,4,3.0,12.0
1975,Coffee,3,2.0,6.0
1976,Smoothie,3,4.0,12.0
1977,Coffee,1,2.0,2.0
1979,Salad,4,5.0,20.0
1980,Tea,2,1.5,3.0
1981,Coffee,5,2.0,10.0
1982,Coffee,5,2.0,10.0
1984,Coffee,3,2.0,6.0
1985,Smoothie,1,4.0,4.0
1987,Cake,1,3.0,3.0
1989,Smoothie,4,4.0,16.0
1990,Juice,3,3.0,9.0
1991,Coffee,1,2.0,2.0
1992,Salad,1,5.0,5.0
1993,Smoothie,2,4.0,8.0
1995,Juice,2,3.0,6.0
1996,Cookie,2,1.0,2.0
1997,Tea,3,1.5,4.5
1998,Cake,4,3.0,12.0
2000,Sandwich,5,4.0,20.0
2001,Smoothie,1,4.0,4.0
2003,Juice,3,3.0,9.0
2004,Coffee,1,2.0,2.0
2005,Smoothie,2,4.0,8.0
2007,Juice,2,3.0,6.0
2010,Cake,5,3.0,15.0
2011,Cookie,1,1.0,1.0
2012,Sandwich,1,4.0,4.0
2013,Smoothie,3,4.0,12.0
2014,Cookie,3,1.0,3.0
2017,Salad,5,5.0,25.0
2018,Smoothie,3,4.0,12.0
2019,Salad,3,5.0,15.0
2020,Coffee,1,2.0,2.0
2021,Cookie,4,1.0,4.0
2022,Tea,3,1.5,4.5
2023,Juice,4,3.0,12.0
2024,Coffee,1,2.0,2.0
2025,Sandwich,3,4.0,12.0
2026,Sandwich,5,4.0,20.0
2027,Coffee,3,2.0,6.0
2029,Salad,3,5.0,15.0
2030,Tea,2,1.5,3.0
2031,Juice,3,3.0,9.0
2032,Salad,1,5.0,5.0
2033,Coffee,3,2.0,6.0
2034,Salad,4,5.0,20.0
2035,Cake,3,3.0,9.0
2036,Sandwich,5,4.0,20.0
2037,Smoothie,3,4.0,12.0
2038,Coffee,4,2.0,8.0
2039,Cake,1,3.0,3.0
2041,Salad,1,5.0,5.0
2042,Sandwich,1,4.0,4.0
2044,Tea,3,1.5,4.5
2045,Juice,2,3.0,6.0
2046,Sandwich,2,4.0,8.0
2047,Juice,4,3.0,12.0
2048,Smoothie,5,4.0,20.0
2050,Coffee,1,2.0,2.0
2051,Coffee,1,2.0,2.0
2052,Coffee,4,2.0,8.0
2053,Salad,1,5.0,5.0
2054,Sandwich,5,4.0,20.0
2055,Juice,4,3.0,12.0
2056,Cookie,3,1.0,3.0
2057,Smoothie,5,4.0,20.0
2058,Smoothie,4,4.0,16.0
2059,Coffee,5,2.0,10.0
2060,Juice,5,3.0,15.0
2061,Salad,4,5.0,20.0
2062,Cake,4,3.0,12.0
2063,Tea,3,1.5,4.5
2064,Salad,3,5.0,15.0
2066,Salad,1,5.0,5.0
2067,Smoothie,4,4.0,16.0
2068,Coffee,2,2.0,4.0
2069,Juice,1,3.0,3.0
2070,Smoothie,1,4.0,4.0
2071,Juice,4,3.0,12.0
2072,Salad,2,5.0,10.0
2073,Tea,2,1.5,3.0
2074,Juice,1,3.0,3.0
2077,Juice,1,3.0,3.0
2079,Coffee,1,2.0,2.0
2080,Tea,3,1.5,4.5
2081,Cake,4,3.0,12.0
2082,Coffee,5,2.0,10.0
2083,Cake,2,3.0,6.0
2084,Sandwich,1,4.0,4.0
2086,Coffee,2,2.0,4.0
2087,Smoothie,2,4.0,8.0
2088,Cake,2,3.0,6.0
2091,Salad,5,5.0,25.0
2093,Juice,1,3.0,3.0
2094,Sandwich,2,4.0,8.0
2095,Cookie,1,1.0,1.0
2096,Sandwich,3,4.0,12.0
2097,Cookie,2,1.0,2.0
2098,Smoothie,3,4.0,12.0
2099,Juice,3,3.0,9.0
2100,Sandwich,5,4.0,20.0
2101,Cake,3,3.0,9.0
2102,Smoothie,3,4.0,12.0
2103,Cookie,4,1.0,4.0
2104,Smoothie,3,4.0,12.0
2105,Juice,5,3.0,15.0
2108,Coffee,5,2.0,10.0
2110,Cake,1,3.0,3.0
2113,Salad,2,5.0,10.0
2114,Juice,4,3.0,12.0
2115,Coffee,5,2.0,10.0
2117,Salad,3,5.0,15.0
2118,Cake,2,3.0,6.0
2119,Cake,1,3.0,3.0
2120,Smoothie,2,4.0,8.0
2121,Sandwich,1,4.0,4.0
2122,Tea,2,1.5,3.0
2124,Tea,5,1.5,7.5
2125,Juice,4,3.0,12.0
2127,Juice,3,3.0,9.0
2128,Tea,1,1.5,1.5
2129,Juice,2,3.0,6.0
2130,Tea,2,1.5,3.0
2131,Salad,2,5.0,10.0
